signal_id,timestamp,direction,signal_state,outcome,btc_price,confidence,entry_zone_low,entry_zone_high,stop_loss,target_1,target_2,risk_reward_ratio,setup_type,market_bias,whale_direction,liquidity_direction,pnl_percent,outcome_notes,status
6577c141-a856-4c33-887e-c59ff4fe92bd,2026-03-14T19:58:05.108000,SHORT,SETUP_IN_CONFIRMATION,,70716.0,54.6,70716.0,70702.0,71289.88,70200.0,68971.6,0.9,sweep_reversal,BEARISH,SELL,UP,,,confirmed
690e3fd7-7a54-42c8-8992-dcf6330238cc,2026-03-14T19:57:23.803000,NO TRADE,NO_TRADE,,70715.9,45.0,70008.74,71423.06,0.0,0.0,0.0,0.0,sweep_reversal,BEARISH,SELL,UP,,,setup_invalidated
9b554ab4-4526-4f92-a369-0443ad2e46c8,2026-03-14T19:56:48.402000,SHORT,SETUP_IN_CONFIRMATION,,70716.0,45.0,70716.0,70707.0,71289.88,70200.0,68971.6,0.9,sweep_reversal,BEARISH,SELL,UP,,,setup_invalidated
4fa7e344-1f22-45c1-b8d5-db539bcfce94,2026-03-14T19:54:26.587000,SHORT,SETUP_IN_CONFIRMATION,,70716.6,53.7,70716.6,70716.0,71289.88,70200.0,68971.6,0.9,sweep_reversal,BEARISH,SELL,UP,,,setup_detected
060b346e-799e-4452-8e85-e17a88c8b767,2026-03-14T19:53:23.453000,SHORT,SETUP_IN_CONFIRMATION,,70716.6,45.0,70716.6,70787.1,70892.7,70200.0,68971.6,2.93,sweep_reversal,BEARISH,BUY,UP,,,setup_detected
0e25f006-3b1e-49f2-ad1e-c79549a7d7ab,2026-03-14T19:19:36.877000,NO TRADE,NO_TRADE,,70701.4,50.0,69994.39,71408.41,0.0,0.0,0.0,0.0,standard,NEUTRAL,SELL,UP,,,invalidated
27f2103b-8e79-402b-bde7-ae53067c4125,2026-03-14T19:18:37.554000,SHORT,OPERATIONAL,,70719.7,47.9,70719.7,70787.1,70892.7,70200.0,68971.6,3.0,sweep_reversal,BEARISH,SELL,UP,,,invalidated
378d4285-d740-4c2b-a880-c4e1b231c882,2026-03-14T19:18:36.765000,SHORT,SETUP_IN_CONFIRMATION,,70719.7,47.9,70719.7,70787.1,70892.7,70200.0,68971.6,3.0,sweep_reversal,BEARISH,SELL,UP,,,confirmed
e467b8f0-9574-4bc6-97f8-4e5aa48579af,2026-03-14T19:10:33.764000,NO TRADE,NO_TRADE,,70662.5,55.0,69955.88,71369.12,0.0,0.0,0.0,0.0,standard,NEUTRAL,NEUTRAL,UP,,,setup_invalidated
4bdd2061-5c45-4582-b0a7-e12bac144636,2026-03-14T19:09:32.722000,SHORT,SETUP_IN_CONFIRMATION,,70675.2,52.9,70675.2,70787.1,70892.7,70200.0,68971.6,2.18,sweep_reversal,BEARISH,NEUTRAL,UP,,,setup_invalidated
09c4ce20-f686-41f5-a0f4-96efd4229af0,2026-03-14T19:05:35.121000,NO TRADE,NO_TRADE,,70652.0,45.0,69945.48,71358.52,0.0,0.0,0.0,0.0,sweep_reversal,BEARISH,NEUTRAL,UP,,,invalidated
